method,side,signal,unit,tStart_s,tEnd_s,nSamples,refRms,simRms,errorMean,errorRms,errorMaxAbs,errorMae,errorRelativeRms,errorRelativeMax
TLM-TL,client,voltage_A,V,0.09,0.15,120001,620.447575865698,620.427240143801,0.0106422987531648,1.97945869547821,7.18367301970341,1.05025891988078,0.00319037219658134,0.00708285059615123
TLM-G,client,voltage_A,V,0.09,0.15,120001,620.447575865698,620.527631342098,1.09508136497484,23.6667544594251,324.98805856214,17.0127229105243,0.0381446481218068,0.320426870490261
ITM,client,voltage_A,V,0.09,0.15,120001,620.447575865698,620.454633587787,0.611601272895924,52.7034061304809,238.214554273528,37.1002922472567,0.0849441728528714,0.234871227173118
TLM-TL,client,current_A,A,0.09,0.15,120001,1429.02693185626,1429.58810540641,0.227211117745737,10.7937863937421,44.2598995980252,5.84252233811257,0.00755324210700583,0.00926026385355606
TLM-G,client,current_A,A,0.09,0.15,120001,1429.02693185626,1623.67938338043,-4.87643279950829,263.609782306409,579.703107087983,203.239027039005,0.184468029559099,0.121288203929873
ITM,client,current_A,A,0.09,0.15,120001,1429.02693185626,1469.12607148472,18.438337791342,168.454700839802,467.062599614768,131.305033019556,0.117880704054321,0.0977210284668956
TLM-TL,client,P,pu,0.09,0.15,120001,0.321660724053216,0.321638282408735,-5.50943935416477e-05,0.0015756761304208,0.0061865705418275,0.000891772147014327,0.00489856551513611,0.00535912429124528
TLM-G,client,P,pu,0.09,0.15,120001,0.321660724053216,0.355000376906051,0.0183054992855059,0.0474438834003179,0.119581673401797,0.0395312382705,0.147496662951206,0.103587770701476
ITM,client,P,pu,0.09,0.15,120001,0.321660724053216,0.421621322843426,0.0140522499268212,0.265651475254295,1.93808496399102,0.131640534750021,0.825874766141314,1.67886846820846
TLM-TL,client,Q,pu,0.09,0.15,120001,0.122395673153956,0.12240776800241,-3.07848294115014e-05,0.00178452524661068,0.00699925495780221,0.00100895333271356,0.0145799700318328,0.0293842311325292
TLM-G,client,Q,pu,0.09,0.15,120001,0.122395673153956,0.154922969350284,-0.0255908038406014,0.0429795851550078,0.132748150292047,0.0352696392465001,0.351152814862546,0.557302506354483
ITM,client,Q,pu,0.09,0.15,120001,0.122395673153956,0.271309002727489,-0.0212887816427494,0.230713037489495,1.29704575562214,0.117326880983378,1.88497707103822,5.44524988765868
TLM-TL,server,voltage_A,V,0.09,0.15,120001,684.40120670776,684.409723055182,0.00408364723019108,0.406290451200725,1.63337008595943,0.261104488425055,0.000593643680371551,0.00166646468528841
TLM-G,server,voltage_A,V,0.09,0.15,120001,684.40120670776,683.891983479202,-0.208798386681865,2.53463903866,7.87581899638144,1.94431112597004,0.00370344034145208,0.0080353952469283
ITM,server,voltage_A,V,0.09,0.15,120001,684.40120670776,697.459315941877,-0.688986306769568,134.025727370708,658.862675769912,69.0442417419044,0.195829180394677,0.672212250648784
TLM-TL,server,current_A,A,0.09,0.15,120001,1447.21518519618,1447.21763512472,-0.236830195251576,9.20072842558848,34.6491143546604,4.889783180974,0.00635753999799363,0.00682434517216308
TLM-G,server,current_A,A,0.09,0.15,120001,1447.21518519618,1613.90835249392,6.39749157821691,261.72608108818,549.2181917961,201.706586414476,0.180848075507652,0.108171726332847
ITM,server,current_A,A,0.09,0.15,120001,1447.21518519618,1445.55977138677,-19.9917317938211,179.277154899463,488.946096366261,140.279973716208,0.123877331258904,0.0963007855851956
TLM-TL,server,P,pu,0.09,0.15,120001,2290482.00133914,2290354.90579052,-709007.530034871,4580813.1494906,16094626.1353921,3062096.12806127,1.99993413910801,2.0001418432388
TLM-G,server,P,pu,0.09,0.15,120001,2290482.00133914,2575731.29029377,-459028.26948315,4850517.87849406,16226570.8260861,3451315.73902678,2.11768434576573,2.01653912358754
ITM,server,P,pu,0.09,0.15,120001,2290482.00133914,4560031.71104879,196492.388371722,6128500.83062959,35561337.6958496,4067046.58787353,2.67563806528343,4.41934586915343
TLM-TL,server,Q,pu,0.09,0.15,120001,1838659.75140341,1838391.5489576,-9029.4500780082,3677026.26646456,13837691.9212334,2417196.32538568,1.99984051625537,2.00042639877198
TLM-G,server,Q,pu,0.09,0.15,120001,1838659.75140341,1978910.79730469,-108930.694303856,3812055.31284924,14272452.1502734,2432031.62759511,2.07327936010977,2.06327689755878
ITM,server,Q,pu,0.09,0.15,120001,1838659.75140341,3144935.89674719,302575.241029114,4554409.14743409,21143437.8990428,3095444.81574983,2.47702661895863,3.0565712529804
